ID de respuesta,Dirección IP,Agente Usuario,Estado de respuesta,URL de la encuesta a la que accede el encuestado,Start time,Hora de finalización,Tiempo empleado,Recopilador,Net Promoter Score (de un total de 10),CSAT Score,¿Qué carrera profesional estudias?,¿Qué ciclo es el que cursas?; considera el ciclo donde más cursos llevas,El perfil de egreso de tu carrera,La correspondencia entre el perfil de egreso y el plan curricular de tu carrera,Los cursos y contenidos de tu carrera,La calidad del servicio de enseñanza en tu carrera,"La claridad, precisión y actualización de los materiales de estudio de tu carrera",La evaluación del aprendizaje en tu carrera,El proceso de intercambio estudiantil,Información sobre tu récord académico,El material bibliográfico físico o digital disponible en la biblioteca,El servicio recibido por el personal administrativo de tu carrera,Los procedimientos de los servicios administrativos de tu carrera,El servicio social: ayuda financiera,El servicio médico y su infraestructura,El servicio de atención psicopedagógica,Los talleres de actividades artísticas y culturales,Las actividades deportivas,Las aulas de clase,Los ambientes y salas para estudio,"Los laboratorios en lo referido a equipamiento, tecnología y programas","Los laboratorios en lo referido a iluminación, ventilación, facilidad de ubicación y señalización de seguridad",El software especializado empleado en la carrera,El portal web de la universidad: Mi Ulima,El aula virtual (Blackboard) y las herramientas de videoconferencia (Zoom),"La conexión Wi-Fi del campus para acceder a los recursos institucionales como Mi Ulima, Blackboard, Zoom, correo institucional y biblioteca virtual",El soporte técnico brindado ante las fallas del sistema informático,"Empleabilidad, vinculación profesional y ALUMNI",La calidad de la formación académica,Tu carrera,La Universidad de Lima,"En una escala del 0 al 10, donde 0 significa ‘Definitivamente no la recomendaría’ y 10 ‘Definitivamente sí la recomendaría’¿Qué tan probable es que recomiendes la Universidad de Lima a un familiar o amigo como institución para estudiar una carrera profesional?","Explica con tus palabras, las razones de la calificación que diste en la pregunta anterior. (máx. 100 caracteres)"
AfCI63kg,,,,,10/11/2025 15:59,10/11/2025 16:02,,,10,,Comunicación,3° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
nWD5SxLj,,,,,18/11/2025 18:15,18/11/2025 18:19,,,10,,Ingeniería Industrial,3° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
FqEwUKvN,,,,,18/11/2025 18:16,18/11/2025 18:18,,,10,,Ingeniería Industrial,3° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
vFDtVJ0W,,,,,22/10/2025 18:29,22/10/2025 18:31,,,10,,Derecho,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
fwCIiIQA,,,,,23/10/2025 10:07,23/10/2025 10:13,,,10,,Psicología,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
09EgiIO9,,,,,23/10/2025 10:07,23/10/2025 10:11,,,10,,Psicología,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
tNfh215p,,,,,30/10/2025 18:52,30/10/2025 18:54,,,10,,Psicología,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
VM4fNyrE,,,,,30/10/2025 18:52,30/10/2025 18:54,,,10,,Psicología,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
Q6a5R2ls,,,,,05/11/2025 12:20,05/11/2025 12:21,,,10,,Psicología,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
YpMfydkI,,,,,13/11/2025 17:53,13/11/2025 17:54,,,10,,Derecho,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
2cM6T5d4,,,,,20/10/2025 14:21,20/10/2025 14:24,,,10,,Economía,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
yPDzn4od,,,,,20/10/2025 16:11,20/10/2025 16:13,,,10,,Economía,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
0LDzZe59,,,,,22/10/2025 14:56,22/10/2025 14:58,,,10,,Comunicación,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
SdDA0CKg,,,,,22/10/2025 16:50,22/10/2025 16:52,,,10,,Ingeniería Industrial,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
lz4IJtON,,,,,22/10/2025 16:53,22/10/2025 16:58,,,10,,Ingeniería Industrial,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
Koa5v4Hj,,,,,24/10/2025 17:15,24/10/2025 17:17,,,10,,Arquitectura,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
jzD9xBu9,,,,,25/10/2025 15:25,25/10/2025 15:27,,,10,,Comunicación,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
bha3l4Il,,,,,27/10/2025 20:11,27/10/2025 20:13,,,10,,Ingeniería de Sistemas,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
LcEmHJu6,,,,,29/10/2025 11:48,29/10/2025 11:50,,,10,,Ingeniería Civil,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
8dDAXFdT,,,,,29/10/2025 14:50,29/10/2025 14:52,,,10,,Ingeniería de Sistemas,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
GwCIXU6i,,,,,29/10/2025 14:50,29/10/2025 14:51,,,10,,Ingeniería de Sistemas,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
baDtXrPJ,,,,,31/10/2025 11:56,31/10/2025 11:58,,,10,,Ingeniería de Sistemas,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
tnDt5bjX,,,,,31/10/2025 11:56,31/10/2025 11:59,,,10,,Ingeniería Industrial,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
LnCI7yup,,,,,31/10/2025 11:56,31/10/2025 11:58,,,10,,Ingeniería Industrial,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
haDAiY8H,,,,,03/11/2025 11:09,03/11/2025 11:13,,,10,,Arquitectura,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
MEDzax9f,,,,,06/11/2025 10:13,06/11/2025 10:15,,,10,,Negocios Internacionales,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
TCMMOCKw,,,,,06/11/2025 10:14,06/11/2025 10:16,,,10,,Negocios Internacionales,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
